,num_dol,num_des,num_tfsi,num_ps,num_li,atoms_dol,atoms_des,atoms_tfsi,atoms_ps,atoms_li,count,%
25,4,1,0,1,2,:1O:1O:1O,1O,,,1L:1L,19,0.57005700570057
26,2,3,0,1,2,:1O,1O:1O:1O,,,1L:1L,19,0.57005700570057
27,3,1,0,1,2,1O:1O:1O,1O,,,1L:1L,18,0.54005400540054
28,1,3,0,1,1,,:1O:1O,,,1L,18,0.54005400540054
29,3,2,0,1,1,:1O:1O,1O:1S,,,1L,17,0.51005100510051
30,1,3,0,1,1,1O,::1O,,,1L,17,0.51005100510051
31,2,2,0,1,1,1O:1O,:1O,,,1L,17,0.51005100510051
32,3,3,0,1,2,::1O,1O:1O:1O,,,1L:1L,16,0.48004800480048
33,5,1,0,1,1,:::1O:1O,1O,,,1L,15,0.45004500450045
34,2,4,0,1,2,:1O,1O:1O:1O:1O,,,1L:1L,15,0.45004500450045
35,1,4,0,1,1,,::1O:1O,,,1L,15,0.45004500450045
36,4,3,0,1,1,::1O:1O,::1O,,,1L,14,0.42004200420042
37,2,4,0,1,1,:1O,::1O:1O,,,1L,14,0.42004200420042
38,2,2,0,1,1,1O:1O,:,,,1L,14,0.42004200420042
39,3,2,0,1,1,::1O,1O:1O,,,1L,13,0.39003900390039
40,2,3,0,1,1,:1O,:1O:1S,,,1L,13,0.39003900390039
41,4,1,0,1,1,:1O:1O:1O,,,,1L,13,0.39003900390039
42,3,1,0,1,1,::1O,,,,1L,13,0.39003900390039
43,2,2,0,1,2,:1O,1O:1O,,,1L:1L,12,0.36003600360036
44,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,12,0.36003600360036
45,2,4,0,1,2,:1O,:1O:1O:1O,,,1L:1L,12,0.36003600360036
46,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,12,0.36003600360036
47,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,12,0.36003600360036
48,4,2,0,1,2,:1O:1O:1O,1O:1O,,,1L:1L,12,0.36003600360036
49,2,2,0,1,1,:1O,:,,,1L,12,0.36003600360036
50,4,0,0,1,1,::1O:1O,,,,1L,12,0.36003600360036
51,3,1,1,1,2,:1O:1O,1O,1O,,1L:1L,12,0.36003600360036
52,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,12,0.36003600360036
53,2,1,0,1,2,1O:1O,1O,,,1L:1L,11,0.33003300330033
54,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,11,0.33003300330033
55,3,2,0,1,1,::,1O:1O,,,1L,11,0.33003300330033
56,2,2,0,1,1,:,:1O,,,1L,11,0.33003300330033
57,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,11,0.33003300330033
58,3,2,0,1,2,::1O,1O:1O,,,1L:1L,11,0.33003300330033
59,4,2,0,1,1,:1O:1O:1O,:,,,1L,11,0.33003300330033
60,5,0,0,1,1,:::1O:1O,,,,1L,10,0.3000300030003
61,3,2,0,1,1,1O:1O:1O,:,,,1L,10,0.3000300030003
62,1,2,0,1,1,1O,:1O,,,1L,10,0.3000300030003
63,1,2,0,1,2,1O,1O:1O,,,1L:1L,10,0.3000300030003
64,3,2,0,1,1,::1O,1O:1S,,,1L,10,0.3000300030003
65,2,3,0,1,2,:1O,:1O:1O,,,1L:1L,10,0.3000300030003
66,4,0,0,1,1,:::1O,,,,1L,10,0.3000300030003
67,2,1,0,1,1,:1O,1O,,,1L,10,0.3000300030003
68,3,2,0,1,2,1O:1O:1O,:1O,,,1L:1L,9,0.27002700270027
69,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,9,0.27002700270027
70,2,1,0,1,1,:1O,,,,1L,9,0.27002700270027
71,1,2,0,1,1,,:1O,,,1L,9,0.27002700270027
72,3,3,0,1,1,:1O:1O,:1O:1S,,,1L,9,0.27002700270027
73,4,1,0,1,2,1O:1O:1O:1O,1O,,,1L:1L,9,0.27002700270027
74,4,2,0,1,1,::1O:1O,:,,,1L,9,0.27002700270027
75,5,2,0,1,1,:::1O:1O,:1O,,,1L,9,0.27002700270027
76,1,3,1,1,2,1O,1O:1O:1O,1O,,1L:1L,8,0.24002400240024
77,5,1,0,1,1,::1O:1O:1O,,,,1L,8,0.24002400240024
78,2,3,0,1,2,1O:1O,:1O:1O,,,1L:1L,8,0.24002400240024
79,3,2,0,1,1,::1O,:,,,1L,8,0.24002400240024
80,1,2,0,1,1,1O,1O:1S,,,1L,8,0.24002400240024
81,2,4,0,1,1,:,::1O:1O,,,1L,8,0.24002400240024
82,2,2,0,1,1,:1O,1O:1S,,,1L,8,0.24002400240024
83,2,2,0,1,1,:1O,1O:1O,,,1L,8,0.24002400240024
84,3,1,0,1,1,:1O:1O,1O,,,1L,8,0.24002400240024
85,1,4,0,1,1,1O,:::1O,,,1L,8,0.24002400240024
86,2,3,0,1,1,:1O,1O:1O:1S,,,1L,8,0.24002400240024
87,2,4,0,1,1,:1O,:::1O,,,1L,8,0.24002400240024
88,5,1,0,1,1,:::1O:1O,,,,1L,8,0.24002400240024
89,4,2,0,1,2,:1O:1O:1O,:1O,,,1L:1L,7,0.21002100210021
90,4,2,0,1,2,::1O:1O,1O:1O,,,1L:1L,7,0.21002100210021
91,2,2,0,1,2,1O:1O,:1O,,,1L:1L,7,0.21002100210021
92,2,5,0,1,2,:1O,:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
93,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
94,2,2,1,1,1,:1O,:1O,1O,,1L,7,0.21002100210021
95,2,4,1,1,2,:1O,:1O:1O:1O,1O,,1L:1L,7,0.21002100210021
96,4,3,0,1,1,:::1O,::1O,,,1L,7,0.21002100210021
97,4,3,0,1,2,::1O:1O,1O:1O:1O,,,1L:1L,7,0.21002100210021
98,2,2,1,1,2,:1O,1O:1O,1O,,1L:1L,7,0.21002100210021
99,3,4,0,1,1,::1O,::1O:1O,,,1L,7,0.21002100210021
100,1,4,0,1,2,1O,1O:1O:1O:2O,,,1L:1L,7,0.21002100210021
101,3,0,0,1,1,::1O,,,,1L,7,0.21002100210021
102,2,1,1,1,1,:1O,,1O,,1L,7,0.21002100210021
103,5,1,0,1,1,::::1O,1O,,,1L,7,0.21002100210021
104,3,3,0,1,1,::,:1O:1O,,,1L,7,0.21002100210021
105,1,5,0,1,1,1O,:::1O:1O,,,1L,7,0.21002100210021
106,1,4,1,1,2,1O,:1O:1O:1O,1O,,1L:1L,7,0.21002100210021
107,5,1,0,1,2,:1O:1O:1O:1O,1O,,,1L:1L,7,0.21002100210021
108,2,3,0,1,1,:,::1O,,,1L,7,0.21002100210021
109,2,4,0,1,1,1O:1O,:::1O,,,1L,7,0.21002100210021
110,3,3,0,1,1,::1O,:1O:1S,,,1L,7,0.21002100210021
111,3,1,0,1,1,:1O:1O,1S,,,1L,6,0.18001800180018
112,1,5,0,1,2,,1O:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
113,1,4,0,1,1,1O,::1O:1O,,,1L,6,0.18001800180018
114,4,1,0,1,1,:::1O,,,,1L,6,0.18001800180018
115,3,2,1,1,1,::1O,:1O,1O,,1L,6,0.18001800180018
116,2,3,1,1,1,:1O,::1O,1O,,1L,6,0.18001800180018
117,2,2,0,1,1,1O:1O,1O:1S,,,1L,6,0.18001800180018
118,4,1,0,1,2,::1O:1O,1O,,,1L:1L,6,0.18001800180018
119,1,4,0,1,2,1O,:1O:1O:1O,,,1L:1L,6,0.18001800180018
120,2,1,1,1,2,1O:1O,1O,1O,,1L:1L,6,0.18001800180018
121,2,3,0,1,1,1O:1O,:1O:1S,,,1L,6,0.18001800180018
122,4,2,0,1,2,1O:1O:1O:1O,:1O,,,1L:1L,6,0.18001800180018
123,2,4,1,1,2,:1O,1O:1O:1O:1O,1O,,1L:1L,6,0.18001800180018
124,1,3,0,1,1,1O,:1O:1O,,,1L,6,0.18001800180018
125,4,3,0,1,1,:::1O,:1O:1O,,,1L,6,0.18001800180018
126,3,1,1,1,1,::1O,,1O,,1L,5,0.15001500150015
127,4,1,0,1,1,:1O:1O:1O,1O,,,1L,5,0.15001500150015
128,3,2,0,1,1,::,:1O,,,1L,5,0.15001500150015
129,4,2,0,1,1,:::1O,1O:1O,,,1L,5,0.15001500150015
130,3,2,1,1,2,:1O:1O,1O:1O,1O,,1L:1L,5,0.15001500150015
131,2,3,0,1,2,:,1O:1O:1O,,,1L:1L,5,0.15001500150015
132,3,2,0,1,1,::1O,1O:1O1S,,,1L,5,0.15001500150015
133,2,2,0,1,2,1O:1O,1O:2O,,,1L:1L,5,0.15001500150015
134,3,2,0,1,2,:1O:1O,:1O,,,1L:1L,5,0.15001500150015
135,2,2,1,1,2,1O:1O,1O:1O,1O,,1L:1L,5,0.15001500150015
136,3,3,0,1,2,1O:1O:1O,:1O:1O,,,1L:1L,5,0.15001500150015
137,1,3,0,1,2,1O,:1O:1O,,,1L:1L,5,0.15001500150015
138,3,4,0,1,2,:1O:1O,:1O:1O:1O,,,1L:1L,5,0.15001500150015
139,2,2,1,1,1,:,:1O,1O,,1L,5,0.15001500150015
140,1,4,1,1,2,1O,1O:1O:1O:1O,1O,,1L:1L,5,0.15001500150015
141,3,1,1,1,1,::1O,1O,1O,,1L,5,0.15001500150015
142,3,3,1,1,2,::1O,1O:1O:1O,1O,,1L:1L,5,0.15001500150015
143,1,2,1,1,1,1O,:,1O,,1L,5,0.15001500150015
144,3,3,0,1,1,::1O,1O:1O:1S,,,1L,5,0.15001500150015
145,2,4,0,1,1,:,:1O:1O:1O,,,1L,5,0.15001500150015
146,1,4,0,1,1,1O,:1O:1O:1S,,,1L,5,0.15001500150015
147,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
148,2,4,0,1,1,:1O,::1O:1S,,,1L,4,0.12001200120012
149,2,1,1,1,1,1O:1O,,1O,,1L,4,0.12001200120012
150,2,5,0,1,2,:1O,1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
151,2,4,0,1,1,:1O,:1O:1O:1O1S,,,1L,4,0.12001200120012
152,4,2,0,1,2,::1O:1O,:1O,,,1L:1L,4,0.12001200120012
153,1,5,0,1,2,1O,1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
154,2,4,0,1,1,:,:::1O,,,1L,4,0.12001200120012
155,3,2,1,1,1,:1O:1O,:,1O,,1L,4,0.12001200120012
156,4,0,0,1,1,:1O:1O:1O,,,,1L,4,0.12001200120012
157,2,5,0,1,1,:1O,:::1O:1O,,,1L,4,0.12001200120012
158,3,2,1,1,1,:1O:1O,:1O,,,1L,4,0.12001200120012
159,1,5,0,1,2,1O,:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
160,2,3,1,1,2,:1O,1O:1O:1O,1O,,1L:1L,4,0.12001200120012
161,4,2,0,1,1,:::,1O:1O,,,1L,4,0.12001200120012
162,2,2,0,1,1,1O:1O,:1S,,,1L,4,0.12001200120012
163,2,2,0,1,1,:,1O:1O,,,1L,4,0.12001200120012
164,2,2,0,1,1,:1O,1O:1O1S,,,1L,4,0.12001200120012
165,1,4,0,1,2,1O,:1O:1O:2O,,,1L:1L,4,0.12001200120012
166,3,2,0,1,2,1O:1O:1O,1O:2O,,,1L:1L,4,0.12001200120012
167,2,2,1,1,1,:,:1O,,,1L,4,0.12001200120012
168,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,4,0.12001200120012
169,3,3,0,1,1,::1O,::,,,1L,4,0.12001200120012
170,3,2,1,1,2,:1O:1O,:1O,1O,,1L:1L,4,0.12001200120012
171,3,1,0,1,1,1O:1O:1O,,,,1L,4,0.12001200120012
172,1,2,0,1,1,1O,1O:1O1S,,,1L,4,0.12001200120012
173,3,1,0,1,1,::,,,,1L,4,0.12001200120012
174,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
175,2,3,0,1,1,1O:1O,:1O:1O,,,1L,4,0.12001200120012
176,5,1,0,1,1,::1O:1O:1O,1O,,,1L,4,0.12001200120012
177,2,3,0,1,1,:,:1O:1S,,,1L,4,0.12001200120012
178,2,2,1,1,2,1O:1O,:1O,1O,,1L:1L,4,0.12001200120012
179,0,5,0,1,2,,1O:1O:1O:1O:2O,,,1L:1L,4,0.12001200120012
180,2,3,0,1,1,:1O,::,,,1L,4,0.12001200120012
181,2,2,1,1,1,:1O,:1O,,,1L,4,0.12001200120012
182,2,3,0,1,2,:1O,1O:1O:2O,,,1L:1L,4,0.12001200120012
183,3,1,1,1,1,:1O:1O,,1O,,1L,4,0.12001200120012
184,1,2,1,1,1,,:,1O,,1L,4,0.12001200120012
185,0,3,0,1,1,,:1O:1O,,,1L,4,0.12001200120012
186,6,1,0,1,1,::::1O:1O,1O,,,1L,4,0.12001200120012
187,3,3,0,1,1,::,::1O,,,1L,3,0.09000900090009
188,1,5,0,1,1,,::1O:1O:1O,,,1L,3,0.09000900090009
189,2,3,0,1,1,:1O,1O:1O:1O1S,,,1L,3,0.09000900090009
190,2,2,0,1,1,:,1O:1S,,,1L,3,0.09000900090009
191,3,1,1,2,2,:1O:1O,1O,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
192,3,2,1,1,2,::1O,1O:1O,1O,,1L:1L,3,0.09000900090009
193,2,1,1,1,2,1O:1O,1O,2O,,1L:1L,3,0.09000900090009
194,4,1,1,1,1,:::1O,,1O,,1L,3,0.09000900090009
195,2,3,0,1,1,1O:1O,::,,,1L,3,0.09000900090009
196,3,4,0,1,2,::1O,1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
197,2,1,1,1,2,:1O,1O,1O,,1L:1L,3,0.09000900090009
198,4,0,1,1,1,::1O:1O,,1O,,1L,3,0.09000900090009
199,1,4,1,1,2,,:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
200,1,2,0,1,1,,1O:1S,,,1L,3,0.09000900090009
201,3,1,1,1,1,::1O,1O,,,1L,3,0.09000900090009
202,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
203,0,2,0,1,1,,:1O,,,1L,3,0.09000900090009
204,4,1,1,1,2,::1O:1O,1O,1O,,1L:1L,3,0.09000900090009
205,3,1,0,1,1,:1O:1O,1O1S,,,1L,3,0.09000900090009
206,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,3,0.09000900090009
207,2,1,1,1,1,:,1S,1O,,1L,3,0.09000900090009
208,5,0,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
209,3,1,1,1,1,::1O,,,,1L,3,0.09000900090009
210,1,5,0,1,2,,1O:1O:1O:1O:2O,,,1L:1L,3,0.09000900090009
211,2,4,0,1,2,1O:1O,1O:1O:1O:2O,,,1L:1L,3,0.09000900090009
212,2,0,0,1,1,:1O,,,,1L,3,0.09000900090009
213,2,1,0,1,1,1O:1O,1O,,,1L,3,0.09000900090009
214,2,1,0,1,1,1O:1O,,,,1L,3,0.09000900090009
215,6,0,0,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
216,6,0,0,1,1,::::1O:1O,,,,1L,3,0.09000900090009
217,3,1,1,1,1,:1O:1O,1O,,,1L,3,0.09000900090009
218,3,1,1,1,1,:1O:1O,1S,1O,,1L,3,0.09000900090009
219,2,3,0,2,1,:1O,::,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
220,3,3,0,1,1,:1O:1O,::,,,1L,3,0.09000900090009
221,3,1,1,1,2,1O:1O:1O,1O,2O,,1L:1L,3,0.09000900090009
222,4,1,0,1,1,::1O:1O,1S,,,1L,3,0.09000900090009
223,4,0,0,1,2,1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
224,2,2,0,1,1,1O:1O,1O:1O,,,1L,3,0.09000900090009
225,2,3,0,1,2,1O:1O,::1O,,,1L:1L,3,0.09000900090009
226,5,2,0,1,1,::::1O,:1O,,,1L,3,0.09000900090009
227,3,3,0,1,1,::,1O:1O:1O,,,1L,3,0.09000900090009
228,1,2,1,1,1,,:1O,,,1L,3,0.09000900090009
229,0,4,1,1,2,,1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
230,2,3,1,1,1,:1O,:1O:1O,,,1L,3,0.09000900090009
231,3,1,0,2,2,1O:1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
232,1,5,0,1,2,1O,:1O:1O:1O:2O,,,1L:1L,3,0.09000900090009
233,2,4,0,1,2,:1O,:1O:1O:2O,,,1L:1L,3,0.09000900090009
234,2,2,0,1,0,:,:1S,,,,3,0.09000900090009
235,3,2,0,2,2,:1O:1O,:1O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
236,1,3,0,1,2,1O,1O:1O:2O1S,,,1L:1L,3,0.09000900090009
237,2,5,0,1,1,:,:::1O:1O,,,1L,3,0.09000900090009
238,3,2,0,1,1,:1O:1O,:1O1S,,,1L,3,0.09000900090009
239,2,3,1,1,2,1O:1O,:1O:1O,1O,,1L:1L,3,0.09000900090009
240,1,3,1,1,2,1O,1O:1O:1O,2O,,1L:1L,3,0.09000900090009
241,3,4,0,1,1,::,::1O:1O,,,1L,3,0.09000900090009
242,2,3,1,1,1,:1O,::,1O,,1L,3,0.09000900090009
243,2,3,1,1,2,1O:1O,1O:1O:1O,,,1L:1L,3,0.09000900090009
244,3,0,1,1,1,:1O:1O,,1O,,1L,3,0.09000900090009
245,2,3,1,1,2,:1O,:1O:1O,1O,,1L:1L,3,0.09000900090009
246,1,4,0,1,1,,::1O:2O,,,1L,3,0.09000900090009
247,1,3,1,1,1,,::1O,1O,,1L,3,0.09000900090009
248,4,2,1,1,2,:1O:1O:1O,:1O,1O,,1L:1L,3,0.09000900090009
249,4,2,0,1,1,:::,:1O,,,1L,3,0.09000900090009
250,2,2,1,1,1,:1O,:,1O,,1L,3,0.09000900090009
251,3,4,0,1,1,:1O:1O,:::1O,,,1L,3,0.09000900090009
252,1,3,0,1,1,1O,::,,,1L,3,0.09000900090009
253,3,1,0,1,1,1O:1O:1O,1S,,,1L,3,0.09000900090009
254,3,2,1,1,1,::1O,:,1O,,1L,3,0.09000900090009
255,1,3,0,1,1,1O,:1O:1S,,,1L,3,0.09000900090009
256,1,3,0,1,1,,1O:1O:1S,,,1L,3,0.09000900090009
257,1,3,0,1,1,,:1O:1S,,,1L,3,0.09000900090009
258,2,5,0,1,2,1O:1O,:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
259,1,3,0,1,1,,:1O:2O,,,1L,3,0.09000900090009
260,4,2,0,1,1,:::1O,:2O,,,1L,3,0.09000900090009
261,3,0,0,1,1,:1O:1O,,,,1L,3,0.09000900090009
262,2,2,1,1,1,1O:1O,:,1O,,1L,3,0.09000900090009
263,1,3,0,1,1,,::1O,,,1L,3,0.09000900090009
264,2,3,1,1,2,1O:1O,1O:1O:1O,2O,,1L:1L,3,0.09000900090009
265,3,2,0,1,1,:1O:1O,1O:1O,,,1L,3,0.09000900090009
266,3,2,1,1,1,::1O,:1O,,,1L,3,0.09000900090009
267,3,2,0,1,1,1O:1O:1O,:1O,,,1L,3,0.09000900090009
268,1,2,1,1,1,1O,:1O,1O,,1L,3,0.09000900090009
269,3,3,1,1,1,:1O:1O,::1O,,,1L,3,0.09000900090009
270,4,2,0,1,1,::1O:1O,1O:1S,,,1L,3,0.09000900090009
271,1,4,0,1,2,,:1O:1O:1O,,,1L:1L,3,0.09000900090009
272,3,0,1,1,2,:1O:1O,,2O,,1L:1L,3,0.09000900090009
273,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,3,0.09000900090009
274,3,2,0,1,1,:1O:1O,1O:1O1S,,,1L,3,0.09000900090009
275,3,2,0,1,1,::1O,:1S,,,1L,3,0.09000900090009
276,2,2,1,1,1,1O:1O,:1O,,,1L,3,0.09000900090009
277,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
278,4,0,1,1,2,:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
279,2,3,0,2,2,1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
280,3,2,1,1,2,::1O,:1O,1O,,1L:1L,2,0.06000600060006
281,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
282,2,3,1,1,1,:1O,::2O,1O,,1L,2,0.06000600060006
283,3,3,0,1,1,1O:1O:1O,::,,,1L,2,0.06000600060006
284,2,3,1,1,1,:,::1O,1O,,1L,2,0.06000600060006
285,3,3,1,1,1,::,:1O:1O,1O,,1L,2,0.06000600060006
286,3,3,1,1,2,:1O:1O,:1O:1O,1O,,1L:1L,2,0.06000600060006
287,3,3,0,1,1,1O:1O:1O,::1O,,,1L,2,0.06000600060006
288,3,3,1,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
289,3,3,1,1,2,:1O:1O,1O:1O:1O,1O,,1L:1L,2,0.06000600060006
290,3,3,0,1,1,1O:1O:1O,::1S,,,1L,2,0.06000600060006
291,2,1,1,1,2,:1O,1O,2O,,1L:1L,2,0.06000600060006
292,3,3,0,2,2,::1O,1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
293,3,3,1,1,1,::1O,::1O,1O,,1L,2,0.06000600060006
294,3,3,1,1,2,:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
295,2,2,0,1,2,:,1O:1O,,,1L:1L,2,0.06000600060006
296,3,1,1,1,2,1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
297,2,3,0,1,2,:,:1O:1O,,,1L:1L,2,0.06000600060006
298,2,2,0,2,2,1O:1O,:1O,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
299,2,3,0,1,1,:,1O:1O:1S,,,1L,2,0.06000600060006
300,2,3,0,1,1,:,1O:1O:1O,,,1L,2,0.06000600060006
301,3,3,0,1,1,::1O,:1O:2O,,,1L,2,0.06000600060006
302,2,3,0,1,1,1O:1O,::2O,,,1L,2,0.06000600060006
303,2,4,0,1,1,1O:1O,::1O:1S,,,1L,2,0.06000600060006
304,2,3,1,1,2,1O:1O,1O:1O:2O,1O,,1L:1L,2,0.06000600060006
305,2,2,0,1,2,:1O,:1O,,,1L:1L,2,0.06000600060006
306,2,2,1,1,2,:1O,1O:1O,,,1L:1L,2,0.06000600060006
307,2,2,0,1,1,:1O,:1S,,,1L,2,0.06000600060006
308,2,2,1,1,2,:1O,1O:1O,2O,,1L:1L,2,0.06000600060006
309,2,3,0,1,0,:,::,,,,2,0.06000600060006
310,3,2,1,1,2,:1O:1O,1O:1O,,,1L:1L,2,0.06000600060006
311,3,4,0,1,2,1O:1O:1O,:1O:1O:1O,,,1L:1L,2,0.06000600060006
312,3,3,0,1,2,:1O:1O,:1O:1O,,,1L:1L,2,0.06000600060006
313,3,3,0,1,2,:1O:1O,1O:1O:2O,,,1L:1L,2,0.06000600060006
314,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,2,0.06000600060006
315,2,2,1,1,2,1O:1O,:1O,2O,,1L:1L,2,0.06000600060006
316,3,3,0,1,1,::1O,:1O:1O1S,,,1L,2,0.06000600060006
317,2,3,0,1,1,:1O,::1S,,,1L,2,0.06000600060006
318,3,4,0,1,1,:1O:1O,:1O:1O:1S,,,1L,2,0.06000600060006
319,2,1,2,1,2,:1O,1O,1O:1O,,1L:1L,2,0.06000600060006
320,2,3,1,1,2,:1O,1O:1O:1O,2O,,1L:1L,2,0.06000600060006
321,2,3,0,1,2,1O:1O,1O:1O:1O1S,,,1L:1L,2,0.06000600060006
322,3,3,0,1,1,::,1O:1O:1S,,,1L,2,0.06000600060006
323,2,2,1,1,1,:1O,:1S,1O,,1L,2,0.06000600060006
324,2,3,1,1,2,:1O,1O:1O:1O1S,1O,,1L:1L,2,0.06000600060006
325,3,3,0,1,1,::1O,1O:1O:1O,,,1L,2,0.06000600060006
326,2,2,0,1,1,1O:1O,1O:1O1S,,,1L,2,0.06000600060006
327,2,3,0,1,1,:1O,::1O1S,,,1L,2,0.06000600060006
328,3,3,0,1,2,::,1O:1O:1O,,,1L:1L,2,0.06000600060006
329,3,3,0,1,1,::,:1O:2O,,,1L,2,0.06000600060006
330,2,3,0,1,1,:1O,:1O:1O1S,,,1L,2,0.06000600060006
331,2,4,0,1,1,:,:1O:1O:1S,,,1L,2,0.06000600060006
332,2,2,1,1,1,:1O,1O:1O,1O,,1L,2,0.06000600060006
333,2,4,0,1,2,:1O,1O:1O:1O:2O,,,1L:1L,2,0.06000600060006
334,2,1,1,1,1,:1O,,2O,,1L,2,0.06000600060006
335,3,2,0,1,1,1O:1O:1O,:1S,,,1L,2,0.06000600060006
336,4,3,0,1,1,:::,:1O:1O,,,1L,2,0.06000600060006
337,1,2,2,1,1,1O,:1S,1O:1O,,1L,2,0.06000600060006
338,4,3,0,1,1,:::1O,:1O:1S,,,1L,2,0.06000600060006
339,3,0,1,1,2,1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
340,4,3,0,1,2,:1O:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
341,1,2,1,1,2,1O,1O:1O,,,1L:1L,2,0.06000600060006
342,1,2,1,1,1,1O,1O:1S,,,1L,2,0.06000600060006
343,4,2,1,1,2,::1O:1O,1O:1O,1O,,1L:1L,2,0.06000600060006
344,3,1,0,1,0,::,,,,,2,0.06000600060006
345,1,2,1,1,1,,:1O,1O,,1L,2,0.06000600060006
346,5,0,0,1,2,:1O:1O:1O:1O,,,,1L:1L,2,0.06000600060006
347,1,2,0,1,1,1O,:,,,1L,2,0.06000600060006
